,Province/State_noquotes
290,"Socorro, NM"
291,"Bernalillo, NM"
292,"Oakland, MI"
293,"Wayne, MI"
294,"New Castle, DE"
295,Australian Capital Territory
296,United Kingdom
297,French Polynesia
298,Manitoba
299,Saskatchewan
300,Grand Princess
301,Alabama
302,Puerto Rico
303,French Guiana
304,Guam
305,Newfoundland and Labrador
306,Prince Edward Island
307,Mayotte
308,Netherlands
309,Nova Scotia
310,Guadeloupe
311,Curacao
312,Virgin Islands
313,Cayman Islands
314,Reunion
315,Aruba
316,Montserrat
317,Greenland
318,New Caledonia
319,Bermuda
320,Sint Maarten
321,Isle of Man
322,No province/state
